,Word,Frequency,tf_idf
3100,inn,87,0.00018178623848538
3097,sexy,87,0.00018178623848538
3060,snow,89,0.00018177315800278328
3142,cornbread,85,0.0001814909459119838
3052,feedback,89,0.00018145132401649818
3064,construction,88,0.00018138091849225212
3086,court,88,0.00018138091849225212
3049,blonde,89,0.0001811332542567327
3046,owns,89,0.0001811332542567327
3054,browned,89,0.00018081886168640527
3043,array,89,0.00018081886168640527
3076,edit,88,0.00018070865606381324
3104,field,87,0.0001807010454176145
3055,stretch,89,0.000180508062252695
3106,creek,87,0.00018034894042081012
3045,vast,89,0.00018020077475215264
3119,florentine,86,0.00018006427168800346
3087,picnic,88,0.00018005279192619058
3090,loudly,88,0.00018005279192619058
3069,house-made,88,0.00018005279192619058
3163,cpk,84,0.000179773114904982
3062,unhappy,88,0.00017973076296904413
3083,fatty,88,0.00017973076296904413
3088,shake,88,0.00017973076296904413
3123,pinball,86,0.00017969674149129517
3109,valet,87,0.0001796584200749052
3206,pino,82,0.0001794924555127667
3091,slowly,88,0.0001794125450949645
3073,obsessed,88,0.0001794125450949645
3110,alla,87,0.0001793197716912038
3107,lite,87,0.0001793197716912038
3089,i.e,88,0.00017909804915272446
3070,unexpected,88,0.00017909804915272446
3071,whose,88,0.00017909804915272446
3084,gracious,88,0.00017909804915272446
3061,equal,88,0.00017878718908318723
3068,budget,88,0.00017878718908318723
3078,mound,88,0.00017878718908318723
3080,connoisseur,88,0.00017878718908318723
3092,driven,88,0.00017878718908318723
3074,gathering,88,0.0001784798817779456
3105,reserve,87,0.00017832896612828998
3096,corkage,87,0.00017832896612828998
3108,lil,87,0.00017832896612828998
3111,soo,87,0.00017800673747248385
3132,church,85,0.00017797050108698018
3346,nom,76,0.0001776335186610732
3146,avon,85,0.00017760724449721036
3098,overlooking,87,0.0001773737661734308
3113,extraordinary,87,0.0001773737661734308
3102,anybody,87,0.0001773737661734308
3148,dormont,85,0.00017724899850315147
3211,stagioni,82,0.0001771921485985545
3094,dislike,87,0.00017706284404871622
3101,unassuming,87,0.00017706284404871622
3118,fourth,86,0.00017692807989406662
3114,ability,87,0.00017675551647996918
3093,forth,87,0.00017675551647996918
3121,thin-crust,86,0.00017660164115327205
3115,shadyside,86,0.00017660164115327205
3139,feast,85,0.00017654699839651992
3120,carb,86,0.00017627920789693033
3133,neopolitan,85,0.00017620298776745816
3126,circle,86,0.00017596068301877716
3125,exposed,86,0.00017596068301877716
3131,quesadilla,85,0.00017586347413828417
3147,protein,85,0.00017586347413828417
3213,luciano,82,0.00017549280264533956
3122,cheapest,86,0.00017533498725189712
3176,provision,83,0.00017525359252578476
3151,renovation,85,0.00017519747808910716
3153,medina,84,0.00017516371616782027
3252,harry,80,0.00017511459074416263
3215,octopus,82,0.00017508538311509025
3117,regarding,86,0.000175027638944708
3116,sub-par,86,0.000175027638944708
3127,shine,86,0.000175027638944708
3143,contained,85,0.00017487077663948445
3128,arm,85,0.00017487077663948445
3129,pissed,85,0.00017454813369800144
3170,toilet,84,0.00017446997488597263
3173,belgian,84,0.00017446997488597263
3150,nostalgia,85,0.00017422944966557068
3144,advertise,85,0.00017422944966557068
