,Word,Frequency
1419,winter,305
1420,provide,304
1421,melt,304
1422,burned,304
1423,watched,302
1424,email,301
1425,starter,301
1426,mark,301
1427,skip,301
1428,pineapple,301
1429,freshly,300
1430,bloody,300
1431,edible,300
1432,superb,299
1433,cookie,299
1434,office,299
1435,talked,299
1436,gooey,299
1437,wouldve,299
1438,scallop,299
1439,mt,298
1440,ta,298
1441,jet,298
1442,hummus,298
1443,st,298
1444,handle,297
1445,famous,297
1446,piping,296
1447,fell,296
1448,sheet,296
1449,ipa,296
1450,stopping,296
1451,include,295
1452,impression,295
1453,messed,295
1454,grill,295
1455,finger,294
1456,prior,294
1457,refreshing,294
1458,compare,294
1459,drove,294
1460,chill,293
1461,garbage,292
1462,cooky,292
1463,corn,292
1464,savory,292
1465,tad,291
1466,iceberg,291
1467,trust,291
1468,post,291
1469,class,291
1470,agreed,291
1471,term,290
1472,apart,289
1473,cheesesteak,288
1474,dewey,288
1475,among,288
1476,alcohol,287
1477,upset,286
1478,funny,285
1479,closing,285
1480,scene,284
1481,hole,284
1482,base,284
1483,here,284
1484,properly,283
1485,beet,282
1486,quaint,281
1487,unlike,281
1488,waitstaff,281
1489,roman,281
1490,receipt,281
1491,ketchup,281
1492,example,280
1493,happens,280
1494,smelled,280
1495,satisfying,280
1496,various,280
1497,2nd,280
1498,listed,279
1499,lacked,279
1500,nut,279
1501,detail,279
1502,prime,278
1503,bonus,278
1504,sun,278
1505,eater,278
1506,upscale,278
1507,bc,278
1508,neither,277
1509,allergy,276
1510,gentleman,276
1511,dried,276
1512,layer,276
1513,parma,275
1514,sounded,275
1515,confused,275
1516,relatively,275
1517,scratch,274
1518,con,274
1519,hint,272
1520,mild,272
1521,photo,272
1522,starving,272
1523,hawaiian,272
1524,ambience,272
1525,fork,271
1526,relaxed,271
1527,presentation,270
1528,inedible,270
1529,carbonara,270
1530,delightful,270
1531,band,269
1532,district,269
1533,bakery,268
1534,effort,268
1535,travel,268
1536,ratio,268
1537,regularly,268
1538,foot,268
1539,stayed,268
1540,truffle,267
1541,rooftop,267
1542,eventually,267
1543,cashier,267
1544,intimate,267
1545,luckily,266
1546,range,266
1547,noisy,266
1548,rave,266
1549,woodfired,266
1550,thicker,265
1551,meant,265
1552,anytime,265
1553,proceeded,265
1554,weekday,265
1555,nasty,265
1556,meeting,264
1557,forno,264
1558,fruit,264
1559,brussel,264
1560,feature,264
1561,tuna,263
1562,luck,263
1563,cuisine,263
1564,cucumber,263
1565,annoying,262
1566,christmas,262
1567,tend,262
1568,equally,262
1569,attempt,262
1570,decision,262
1571,mayo,261
1572,ignored,261
1573,spread,259
1574,noise,259
1575,trouble,259
1576,pack,258
1577,grabbed,258
1578,locally,258
1579,writing,258
1580,cover,258
1581,catch,258
1582,dropped,258
1583,bake,258
1584,tot,258
1585,hearty,258
1586,bruschetta,258
1587,oily,257
1588,allow,257
1589,gf,256
1590,mashed,256
1591,temperature,256
1592,cinnamon,256
1593,signature,256
1594,patient,256
1595,corporate,255
1596,interested,255
1597,allowed,255
1598,stromboli,255
1599,saucy,254
1600,frank,254
1601,bianca,253
1602,cheddar,253
1603,vinaigrette,253
1604,individual,252
1605,blaze,252
1606,mustard,252
1607,togo,252
1608,nobody,251
1609,became,251
1610,serious,251
1611,tangy,250
1612,secret,250
1613,self,250
1614,waffle,249
1615,eatery,249
1616,movie,249
1617,community,249
1618,begin,249
1619,gon,249
1620,supreme,249
1621,peanut,248
1622,annoyed,248
1623,accommodate,248
1624,inexpensive,248
1625,pitt,248
1626,aware,248
1627,hanging,248
1628,sweetness,247
1629,antonios,247
1630,trendy,246
1631,managed,246
1632,sold,245
1633,rigatoni,245
1634,ample,245
1635,def,244
1636,eats,244
1637,adding,244
1638,apologize,244
1639,key,243
1640,thinner,243
1641,mushy,243
1642,orange,243
1643,drop,243
1644,tired,243
1645,pitcher,243
1646,buttery,243
1647,hearing,242
1648,silverware,242
1649,opportunity,242
1650,boneless,242
1651,personable,241
1652,unprofessional,241
1653,manner,241
1654,pro,241
1655,subpar,241
1656,coke,241
1657,california,240
1658,site,240
1659,lower,240
1660,breading,240
1661,create,240
1662,tray,240
1663,shredded,240
1664,holy,239
1665,grubhub,239
1666,helping,239
1667,theyll,238
1668,laid,238
1669,smoke,238
1670,contact,238
1671,specifically,237
1672,flavored,236
1673,antipasto,236
1674,fig,236
1675,result,235
1676,closest,235
1677,pull,235
1678,towards,235
1679,knowing,235
1680,potential,235
1681,art,234
1682,caliente,234
1683,chopped,234
1684,discovered,234
1685,winner,234
1686,glutenfree,233
1687,following,233
1688,period,233
1689,theyd,233
1690,preference,233
1691,venue,232
1692,juice,232
1693,spending,232
1694,patty,232
1695,strawberry,231
1696,season,231
1697,repeat,231
1698,remembered,231
1699,slider,230
1700,count,230
1701,pancake,230
1702,skimp,230
1703,garage,230
1704,liking,230
1705,quantity,230
1706,shit,230
1707,balanced,229
1708,wild,229
1709,non,229
1710,stone,229
1711,match,229
1712,thumb,229
1713,highlight,229
1714,biscotti,229
1715,salami,229
1716,thrown,228
1717,shopping,228
1718,danny,228
1719,wheat,228
1720,curd,228
1721,rarely,228
1722,form,228
1723,assume,228
1724,pile,228
1725,lightly,227
1726,charred,227
1727,followed,227
1728,numerous,227
1729,coworker,227
1730,ticket,227
1731,holiday,227
1732,brings,227
1733,shortly,226
1734,description,226
1735,wedge,226
